item,parent,label,original_point_cloud_count,minimal_bounding_box_volume,mesh_volume,date_created,user
root,
Stones,root
GuberNaturSteine,Stones
de8bfbf4-c4e3-480b-896b-e056dc7ab29b,BatchA3,,63861,0.0022456005605340002,0.0013251121796486935,2021-09-03T19:13:54Z,broyet
ced4f73a-857f-4301-866f-e7513b357256,BatchA3,,97135,0.0029659673013066002,0.0014424675024637262,2021-09-03T19:14:04Z,broyet
3b9b553e-b879-42c0-afd8-428085f68fd3,BatchA3,,68306,0.0040286368866913145,0.0017754773476063683,2021-09-03T19:14:13Z,broyet
d025f7d4-dbe6-4813-b176-d919ca456f67,BatchA3,,89176,0.0022190840891250178,0.0012796155369295163,2021-09-03T19:14:23Z,broyet
13275c09-db48-476d-84c6-6e72f7fcb6d4,BatchA3,,165071,0.0055149063301844726,0.0031089419249155019,2021-09-03T19:14:40Z,broyet
1095eccd-9648-4410-870c-6c66177b90ed,BatchA3,,247357,0.0066125978189278114,0.0038630201178305418,2021-09-03T19:15:11Z,broyet
BatchA1,GuberNaturSteine
6440ef78-34ac-45de-9da7-1cf472d919f1,BatchA1,,52948,0.0053926341531376097,0.0025603625036625445,2021-09-03T18:47:44Z,broyet
06de2805-5872-4f6a-a8dd-8a85b3cb6325,BatchA1,,71598,0.012576791732096363,-0.0047631449192378468,2021-09-03T18:47:52Z,broyet
90f80fc0-2a97-4fbc-9984-408405e9987b,BatchA1,,50825,0.0079611202163634778,0.0026421076413351788,2021-09-03T18:47:58Z,broyet
2b1ca373-9a13-496d-8203-acab1e1d8f07,BatchA1,,84565,0.012963300060839204,0.0064248669676467383,2021-09-03T18:48:11Z,broyet
c99e08c7-5324-480f-a686-e7d71f10166d,BatchA1,,46356,0.017695603203562577,0.005898844373143205,2021-09-03T18:48:17Z,broyet
88631b63-394b-44c1-a270-50474316d16f,BatchA1,,75188,0.013263579977541198,0.0047709617245279686,2021-09-03T18:48:26Z,broyet
fb656487-f4db-4693-8534-5d4af4fb2a78,BatchA1,,72167,0.018516829651132487,0.0068257562070921582,2021-09-03T18:48:38Z,broyet
cf55309b-b2e4-4f63-8892-e7f436307829,BatchA1,,42366,0.0068536346759559526,0.0024690588664866755,2021-09-03T18:48:46Z,broyet
ba5c138c-7d28-4a1d-b683-0e088f6c7a16,BatchA1,,34767,0.0083932862157438479,0.0022278544960353769,2021-09-03T18:48:53Z,broyet
5839c31a-8def-441f-a2eb-07ee19c5b765,BatchA1,,52254,0.012302504069186794,0.0043930209717156559,2021-09-03T18:49:06Z,broyet
17610b70-e6cc-4870-9b01-84527d0b9fe0,BatchA1,,37385,0.011805742992918313,0.0039914942122790181,2021-09-03T18:49:15Z,broyet
34ef4ea1-f98a-4eea-93ca-9cf0a5f5d1bd,BatchA1,,39233,0.0096032553836911169,0.0029654083180236383,2021-09-03T18:49:23Z,broyet
952543d1-cf26-4552-ad5d-85ed76029916,BatchA1,,70413,0.012278996030878139,0.0054414276209482889,2021-09-03T18:49:35Z,broyet
9a2e1dbf-8366-4cff-9013-bbb024259b91,BatchA1,,34832,0.0043008719004790997,0.0018059122051523307,2021-09-03T18:49:42Z,broyet
db3fa5b3-be2d-40c8-bbef-61d46c95a0f1,BatchA1,,83241,0.0080211549546476048,0.0046915893889685071,2021-09-03T18:49:58Z,broyet
03c4570d-ec78-4974-99ed-bc953235fc27,BatchA1,,60670,0.01179310938579351,0.0050351736166883709,2021-09-03T18:50:13Z,broyet
8f513813-2f7c-4d8a-acdd-e1f1a02d7196,BatchA1,,58256,0.01015920086854117,0.0039033242804139803,2021-09-03T18:50:25Z,broyet
